,country,article_name,revision_id,article_quality,population
103,Zimbabwe,Fletcher Dulini,669981316,Stub,14000000.0
104,Zimbabwe,Leopold Takawira,710060929,Start,14000000.0
105,Zimbabwe,Tinos Rusere,710524880,Start,14000000.0
106,Zimbabwe,Gift Tandare,710615823,Stub,14000000.0
107,Zimbabwe,Engelbert Rugeje,711448400,Start,14000000.0
108,Zimbabwe,Max Mnkandla,711509855,Stub,14000000.0
109,Zimbabwe,Lovemore Matombo,711958194,Stub,14000000.0
110,Zimbabwe,Alfred Nikita Mangena,712004487,Stub,14000000.0
111,Zimbabwe,Simbi Mubako,713121927,Stub,14000000.0
112,Zimbabwe,Nicholas Kiti kiti,713308132,Stub,14000000.0
113,Zimbabwe,Aleck Gumbo,713580662,Stub,14000000.0
114,Zimbabwe,Jabulani Sibanda,713618917,Start,14000000.0
115,Zimbabwe,Cain Mathema,713726531,Stub,14000000.0
116,Zimbabwe,Patrick Kombayi,713740128,Stub,14000000.0
117,Zimbabwe,Langton Towungana,713899377,Stub,14000000.0
118,Zimbabwe,Eric Matinenga,714455111,Stub,14000000.0
119,Zimbabwe,Emmanuel Chiroto,714535045,Stub,14000000.0
120,Zimbabwe,Muchadeyi Masunda,714706533,C,14000000.0
121,Zimbabwe,David Butau,714967769,Stub,14000000.0
122,Zimbabwe,Thompson Samkange,715131189,Stub,14000000.0
123,Zimbabwe,Nomalanga Khumalo,715183334,Stub,14000000.0
124,Zimbabwe,Henry Dzinotyiweyi,715867004,Stub,14000000.0
125,Zimbabwe,Edward Raradza,716017725,Stub,14000000.0
126,Zimbabwe,Rekayi Tangwena,716669163,Stub,14000000.0
127,Zimbabwe,Sibonile Nyamudeza,717380254,Stub,14000000.0
128,Zimbabwe,Misheck Kagurabadza,720008799,Stub,14000000.0
129,Zimbabwe,Morgan Femai,721674926,Stub,14000000.0
130,Zimbabwe,Bybit Lydia Tsomondo,723082034,Stub,14000000.0
131,Zimbabwe,Kisinoti Mukwazhe,723353282,Stub,14000000.0
132,Zimbabwe,David Karimanzira,725242133,Stub,14000000.0
133,Zimbabwe,Sobusa Gula-Ndebele,726651867,Stub,14000000.0
